Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
Resolved,1037,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-05 12:10:27,2023-01-07 12:10:27,2023-01-05 13:10:27,2023-01-05 12:34:20.255,Within SLA,2023-01-07 11:23:15.054,Within SLA,,1.0,,Custom software development,Tier 1,Poland,52.536273,19.050639
Resolved,1039,Medium,Chat,Purchasing and invoicing,2nd line support,Adolpho Messingham,2023-01-05 05:16:19,2023-01-06 05:16:19,2023-01-05 05:18:19,2023-01-05 05:18:00.531,Within SLA,2023-01-05 07:37:10.835,Within SLA,,3.0,,Custom software development,Tier 2,Poland,52.536273,19.050639
In progress,1040,High,Chat,Bug report,2nd line support,Heather Urry,2023-01-05 14:30:37,2023-01-06 14:30:37,2023-01-05 14:32:37,2023-01-05 14:31:02.365,Within SLA,,SLA Violated,,6.0,,Ready to use Software,Tier 2,Poland,52.536273,19.050639
Resolved,1045,Medium,Email,Bug report,1st line support,Kristos Westoll,2023-01-06 20:14:59,2023-01-08 20:14:59,2023-01-06 21:14:59,2023-01-06 20:58:29.786,Within SLA,2023-01-08 07:15:33.362,Within SLA,,4.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1046,High,Email,Bug report,1st line support,Sheela Cutten,2023-01-06 15:11:41,2023-01-08 15:11:41,2023-01-06 16:11:41,2023-01-06 15:35:55.110,Within SLA,2023-01-07 06:22:47.483,Within SLA,,1.0,,Custom software development,Tier 1,Poland,52.536273,19.050639
In progress,1047,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 03:15:21,2023-01-08 03:15:21,2023-01-06 04:15:21,2023-01-06 04:07:57.717,Within SLA,,SLA Violated,,1.0,,Training and Consulting Services,Tier 1,Greece,39.368279,21.863141
In progress,1048,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 23:55:57,2023-01-07 23:55:57,2023-01-06 23:57:57,2023-01-06 23:56:15.157,Within SLA,,SLA Violated,,8.0,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Resolved,1056,Low,Email,Bug report,1st line support,Kristos Westoll,2023-01-07 00:13:20,2023-01-09 00:13:20,2023-01-07 01:13:20,2023-01-07 00:19:13.578,Within SLA,2023-01-08 13:56:19.524,Within SLA,,8.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
In progress,1058,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-08 13:39:52,2023-01-10 13:39:52,2023-01-08 14:39:52,2023-01-08 14:36:27.207,Within SLA,,SLA Violated,,10.0,,Ready to use Software,Tier 1,France,48.864716,2.349014
In progress,1062,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-01-08 19:35:27,2023-01-09 19:35:27,2023-01-08 19:37:27,2023-01-08 19:36:35.285,Within SLA,,SLA Violated,,60.0,,Custom software development,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1066,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-01-09 14:16:59,2023-01-10 14:16:59,2023-01-09 14:18:59,2023-01-09 14:17:22.391,Within SLA,2023-01-10 06:21:28.868,Within SLA,,6.0,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
Resolved,1067,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-09 15:09:10,2023-01-11 15:09:10,2023-01-09 16:09:10,2023-01-09 15:37:18.542,Within SLA,2023-01-11 01:02:32.459,Within SLA,,3.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
Resolved,1070,High,Email,Pricing and licensing,2nd line support,Adolpho Messingham,2023-01-09 18:55:21,2023-01-11 18:55:21,2023-01-09 19:55:21,2023-01-09 19:32:12.017,Within SLA,2023-01-15 17:10:06.485,SLA Violated,,1.0,,Custom software development,Tier 2,Germany,51.165691,10.451526
Resolved,1077,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 02:10:01,2023-01-12 02:10:01,2023-01-10 03:10:01,2023-01-10 02:35:28.295,Within SLA,2023-01-11 21:39:27.481,Within SLA,,2.0,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Resolved,1079,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-10 09:42:12,2023-01-12 09:42:12,2023-01-10 10:42:12,2023-01-10 10:30:03.208,Within SLA,2023-01-12 01:12:10.641,Within SLA,,2.0,,Other,Tier 1,Germany,51.165691,10.451526
In progress,1081,Medium,Chat,Product setup,1st line support,Bernard Beckley,2023-01-10 04:29:04,2023-01-11 04:29:04,2023-01-10 04:31:04,2023-01-10 04:29:36.431,Within SLA,,SLA Violated,,3.0,,Custom software development,Tier 1,Austria,47.6964719,13.3457347
Resolved,1083,Low,Phone,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 23:30:30,2023-01-12 23:30:30,2023-01-10 23:32:30,2023-01-10 23:31:12.529,Within SLA,2023-01-12 00:58:23.880,Within SLA,,1.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Resolved,1084,Medium,Email,Other,1st line support,Connor Danielovitch,2023-01-10 10:14:54,2023-01-12 10:14:54,2023-01-10 11:14:54,2023-01-10 11:06:44.788,Within SLA,2023-01-11 20:40:17.303,Within SLA,,7.0,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1086,Medium,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-01-10 17:16:11,2023-01-12 17:16:11,2023-01-10 18:16:11,2023-01-10 17:44:04.661,Within SLA,2023-01-12 07:22:02.841,Within SLA,,10.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1090,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-01-11 00:49:24,2023-01-12 00:49:24,2023-01-11 00:51:24,2023-01-11 00:50:15.651,Within SLA,2023-01-11 14:39:13.211,Within SLA,,4.0,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Resolved,1092,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-01-11 12:31:52,2023-01-12 12:31:52,2023-01-11 12:33:52,2023-01-11 12:31:53.202,Within SLA,2023-01-12 12:24:20.970,Within SLA,,3.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
Resolved,1093,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-11 13:45:35,2023-01-13 13:45:35,2023-01-11 14:45:35,2023-01-11 14:12:45.316,Within SLA,2023-01-12 00:00:02.086,Within SLA,,8.0,,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1094,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,2023-01-11 04:04:47,2023-01-12 04:04:47,2023-01-11 04:06:47,2023-01-11 04:05:35.487,Within SLA,2023-01-11 19:03:32.390,Within SLA,,6.0,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
In progress,1098,Medium,Chat,Other,1st line support,Bernard Beckley,2023-01-12 12:18:45,2023-01-13 12:18:45,2023-01-12 12:20:45,2023-01-12 12:19:18.598,Within SLA,,SLA Violated,,6.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Resolved,1100,Medium,Email,Feature request,2nd line support,Heather Urry,2023-01-12 22:40:11,2023-01-14 22:40:11,2023-01-12 23:40:11,2023-01-12 22:47:08.587,Within SLA,2023-01-13 13:58:22.732,Within SLA,,7.0,,Custom software development,Tier 2,Italy,43.036776,12.678565
Resolved,1101,High,Chat,Bug report,1st line support,Sheela Cutten,2023-01-13 15:00:14,2023-01-14 15:00:14,2023-01-13 15:02:14,2023-01-13 15:00:36.375,Within SLA,2023-01-14 02:58:00.277,Within SLA,,60.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1102,Low,Chat,Other,2nd line support,Michele Whyatt,2023-01-13 15:16:58,2023-01-14 15:16:58,2023-01-13 15:18:58,2023-01-13 15:17:30.575,Within SLA,2023-01-13 21:16:38.693,Within SLA,,5.0,,Ready to use Software,Tier 2,Germany,51.165691,10.451526
Resolved,1103,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-01-13 12:58:56,2023-01-14 12:58:56,2023-01-13 13:00:56,2023-01-13 12:59:39.585,Within SLA,2023-01-13 13:19:55.416,Within SLA,,9.0,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
In progress,1106,Low,Chat,Other,1st line support,Connor Danielovitch,2023-01-13 23:18:45,2023-01-14 23:18:45,2023-01-13 23:20:45,2023-01-13 23:20:43.777,Within SLA,,SLA Violated,,3.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
In progress,1111,Low,Chat,Product setup,1st line support,Sheela Cutten,2023-01-13 02:49:26,2023-01-14 02:49:26,2023-01-13 02:51:26,2023-01-13 02:52:27.993,SLA Violated,,SLA Violated,,9.0,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
In progress,1112,Low,Phone,Pricing and licensing,1st line support,Bernard Beckley,2023-01-13 02:22:58,2023-01-15 02:22:58,2023-01-13 02:24:58,2023-01-13 02:23:44.111,Within SLA,,SLA Violated,,2.0,,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1113,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-01-13 01:46:37,2023-01-14 01:46:37,2023-01-13 01:48:37,2023-01-13 01:46:51.422,Within SLA,2023-01-17 07:29:51.862,SLA Violated,,6.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
Resolved,1115,Low,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-01-13 23:22:08,2023-01-14 23:22:08,2023-01-13 23:24:08,2023-01-13 23:22:16.070,Within SLA,2023-01-14 05:14:59.328,Within SLA,,3.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1116,Medium,Phone,Pricing and licensing,1st line support,Nicola Wane,2023-01-14 22:53:23,2023-01-16 22:53:23,2023-01-14 22:55:23,2023-01-14 22:54:39.449,Within SLA,2023-01-16 03:46:00.748,Within SLA,,7.0,,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1127,High,Email,Product setup,1st line support,Bernard Beckley,2023-01-15 06:08:54,2023-01-17 06:08:54,2023-01-15 07:08:54,2023-01-15 06:47:30.075,Within SLA,2023-01-15 07:23:23.466,Within SLA,,2.0,,Other,Tier 1,Czech Republic,49.8037633,15.4749126
In progress,1130,Medium,Chat,Product setup,1st line support,Connor Danielovitch,2023-01-16 05:12:59,2023-01-17 05:12:59,2023-01-16 05:14:59,2023-01-16 05:14:35.188,Within SLA,,SLA Violated,,6.0,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
Resolved,1133,High,Chat,Product setup,1st line support,Bernard Beckley,2023-01-16 19:19:41,2023-01-17 19:19:41,2023-01-16 19:21:41,2023-01-16 19:19:48.613,Within SLA,2023-01-17 12:08:15.116,Within SLA,,3.0,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Resolved,1135,Low,Phone,Bug report,2nd line support,Adolpho Messingham,2023-01-16 14:37:40,2023-01-18 14:37:40,2023-01-16 14:39:40,2023-01-16 14:40:46.740,SLA Violated,2023-01-16 19:04:13.525,Within SLA,,1.0,,Training and Consulting Services,Tier 2,Poland,52.536273,19.050639
Resolved,1136,Low,Email,Bug report,1st line support,Sheela Cutten,2023-01-16 15:35:28,2023-01-18 15:35:28,2023-01-16 16:35:28,2023-01-16 16:08:01.741,Within SLA,2023-01-17 11:41:21.821,Within SLA,,10.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1137,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-16 07:57:01,2023-01-18 07:57:01,2023-01-16 08:57:01,2023-01-16 08:11:48.199,Within SLA,2023-01-18 02:08:31.725,Within SLA,,1.0,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Resolved,1138,Low,Email,Product setup,2nd line support,Heather Urry,2023-01-17 01:30:29,2023-01-19 01:30:29,2023-01-17 02:30:29,2023-01-17 08:53:20.063,SLA Violated,2023-01-18 08:04:50.081,Within SLA,,1.0,,Ready to use Software,Tier 2,Spain,39.67337,-4.767726
Resolved,1140,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,2023-01-17 14:03:25,2023-01-18 14:03:25,2023-01-17 14:05:25,2023-01-17 14:03:47.237,Within SLA,2023-01-23 08:16:16.959,SLA Violated,,6.0,,Training and Consulting Services,Tier 1,Greece,39.368279,21.863141
Resolved,1141,Low,Chat,Other,1st line support,Nicola Wane,2023-01-17 00:04:06,2023-01-18 00:04:06,2023-01-17 00:06:06,2023-01-17 00:04:29.168,Within SLA,2023-01-18 05:24:11.228,SLA Violated,,3.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1143,Low,Email,Other,2nd line support,Adolpho Messingham,2023-01-17 23:31:47,2023-01-19 23:31:47,2023-01-18 00:31:47,2023-01-18 00:19:54.993,Within SLA,2023-01-18 01:20:43.055,Within SLA,,2.0,,Training and Consulting Services,Tier 2,Republic of Ireland,53.094024,-8.019675
Resolved,1145,Medium,Email,Product setup,1st line support,Nicola Wane,2023-01-17 15:52:09,2023-01-19 15:52:09,2023-01-17 16:52:09,2023-01-17 16:29:17.433,Within SLA,2023-01-18 11:55:59.080,Within SLA,,1.0,,Ready to use Software,Tier 1,France,48.864716,2.349014
In progress,1149,Low,Phone,Feature request,1st line support,Sheela Cutten,2023-01-18 02:50:49,2023-01-20 02:50:49,2023-01-18 02:52:49,2023-01-18 02:52:09.033,Within SLA,,SLA Violated,,1.0,,Custom software development,Tier 1,Italy,43.036776,12.678565
Resolved,1154,Low,Email,Pricing and licensing,1st line support,Kristos Westoll,2023-01-18 07:25:42,2023-01-20 07:25:42,2023-01-18 08:25:42,2023-01-18 08:25:00.131,Within SLA,2023-01-19 15:14:33.229,Within SLA,,2.0,,Other,Tier 1,Italy,43.036776,12.678565
Resolved,1156,Medium,Email,Other,2nd line support,Heather Urry,2023-01-18 04:20:21,2023-01-20 04:20:21,2023-01-18 05:20:21,2023-01-18 05:08:17.702,Within SLA,2023-01-18 08:09:36.698,Within SLA,,1.0,,Training and Consulting Services,Tier 2,France,48.864716,2.349014
Resolved,1157,Medium,Chat,Product setup,1st line support,Bernard Beckley,2023-01-18 22:25:35,2023-01-19 22:25:35,2023-01-18 22:27:35,2023-01-18 22:26:19.753,Within SLA,2023-01-19 03:42:58.960,Within SLA,,5.0,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Resolved,1160,Low,Chat,Pricing and licensing,2nd line support,Michele Whyatt,2023-01-19 09:56:57,2023-01-20 09:56:57,2023-01-19 09:58:57,2023-01-19 09:58:31.828,Within SLA,2023-01-19 21:24:38.855,Within SLA,,60.0,,Ready to use Software,Tier 2,Italy,43.036776,12.678565
In progress,1161,Low,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-01-19 11:56:06,2023-01-21 11:56:06,2023-01-19 12:56:06,2023-01-19 12:55:03.068,Within SLA,,SLA Violated,,2.0,,Other,Tier 2,Slovenia,46.1491664,14.9860106
Resolved,1165,High,Chat,Product setup,1st line support,Connor Danielovitch,2023-01-19 02:00:02,2023-01-20 02:00:02,2023-01-19 02:02:02,2023-01-19 02:01:24.155,Within SLA,2023-01-21 04:02:43.991,SLA Violated,,4.0,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1168,High,Email,Other,2nd line support,Michele Whyatt,2023-01-19 18:33:13,2023-01-21 18:33:13,2023-01-19 19:33:13,2023-01-19 18:59:45.491,Within SLA,2023-01-20 14:33:25.698,Within SLA,,5.0,,Other,Tier 2,Czech Republic,49.8037633,15.4749126
In progress,1170,Medium,Chat,Product setup,1st line support,Bernard Beckley,2023-01-19 02:59:41,2023-01-20 02:59:41,2023-01-19 03:01:41,2023-01-19 03:01:25.458,Within SLA,,SLA Violated,,60.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
In progress,1171,High,Email,Feature request,2nd line support,Michele Whyatt,2023-01-20 08:12:18,2023-01-22 08:12:18,2023-01-20 09:12:18,2023-01-20 11:23:09.594,SLA Violated,,SLA Violated,,2.0,,Other,Tier 2,Germany,51.165691,10.451526
In progress,1172,Low,Email,Purchasing and invoicing,1st line support,Kristos Westoll,2023-01-20 16:02:00,2023-01-22 16:02:00,2023-01-20 17:02:00,2023-01-20 16:31:24.768,Within SLA,,SLA Violated,,6.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
In progress,1173,Low,Email,Product setup,1st line support,Nicola Wane,2023-01-20 18:26:33,2023-01-22 18:26:33,2023-01-20 19:26:33,2023-01-20 18:51:24.340,Within SLA,,SLA Violated,,3.0,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
In progress,1176,High,Chat,Bug report,2nd line support,Michele Whyatt,2023-01-20 12:41:24,2023-01-21 12:41:24,2023-01-20 12:43:24,2023-01-20 12:42:08.016,Within SLA,,SLA Violated,,6.0,,Ready to use Software,Tier 2,Germany,51.165691,10.451526
In progress,1177,Low,Email,Pricing and licensing,1st line support,Kristos Westoll,2023-01-20 07:41:43,2023-01-22 07:41:43,2023-01-20 08:41:43,2023-01-20 08:16:18.202,Within SLA,,SLA Violated,,10.0,,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1178,High,Email,Other,1st line support,Nicola Wane,2023-01-20 09:35:25,2023-01-22 09:35:25,2023-01-20 10:35:25,2023-01-20 09:49:59.568,Within SLA,2023-01-21 08:18:23.092,Within SLA,,1.0,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Resolved,1180,Low,Chat,Purchasing and invoicing,1st line support,Nicola Wane,2023-01-20 08:49:49,2023-01-21 08:49:49,2023-01-20 08:51:49,2023-01-20 08:51:33.742,Within SLA,2023-01-21 08:32:34.323,Within SLA,,2.0,,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1184,High,Chat,Pricing and licensing,1st line support,Connor Danielovitch,2023-01-21 17:21:38,2023-01-22 17:21:38,2023-01-21 17:23:38,2023-01-21 17:22:51.387,Within SLA,2023-01-25 20:28:05.198,SLA Violated,,2.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1185,Low,Chat,Feature request,1st line support,Sheela Cutten,2023-01-21 11:45:13,2023-01-22 11:45:13,2023-01-21 11:47:13,2023-01-21 11:49:42.727,SLA Violated,2023-01-21 15:21:29.211,Within SLA,,6.0,,Custom software development,Tier 1,Bulgaria,42.7249925,25.4833039
In progress,1198,Medium,Email,Other,1st line support,Sheela Cutten,2023-01-22 08:50:11,2023-01-24 08:50:11,2023-01-22 09:50:11,2023-01-22 09:34:55.068,Within SLA,,SLA Violated,,7.0,,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1199,Low,Chat,Bug report,1st line support,Nicola Wane,2023-01-22 01:57:26,2023-01-23 01:57:26,2023-01-22 01:59:26,2023-01-22 01:57:50.539,Within SLA,2023-01-22 04:33:20.320,Within SLA,,3.0,,Training and Consulting Services,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1201,High,Email,Training request,1st line support,Kristos Westoll,2023-01-22 23:42:43,2023-01-24 23:42:43,2023-01-23 00:42:43,2023-01-23 00:06:47.874,Within SLA,2023-01-23 22:24:55.625,Within SLA,,3.0,,Training and Consulting Services,Tier 1,Poland,52.536273,19.050639
Resolved,1202,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-22 13:18:02,2023-01-24 13:18:02,2023-01-22 14:18:02,2023-01-22 13:34:22.201,Within SLA,2023-01-24 12:21:26.368,Within SLA,,1.0,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1203,Medium,Email,Bug report,1st line support,Bernard Beckley,2023-01-22 14:32:27,2023-01-24 14:32:27,2023-01-22 15:32:27,2023-01-22 15:02:55.613,Within SLA,2023-01-24 03:16:58.929,Within SLA,,5.0,,Custom software development,Tier 1,Poland,52.536273,19.050639
In progress,1204,Low,Email,Purchasing and invoicing,1st line support,Bernard Beckley,2023-01-23 02:36:31,2023-01-25 02:36:31,2023-01-23 03:36:31,2023-01-23 03:15:09.797,Within SLA,,SLA Violated,,9.0,,Other,Tier 1,Italy,43.036776,12.678565
Resolved,1205,Low,Chat,Product setup,2nd line support,Heather Urry,2023-01-23 04:12:42,2023-01-24 04:12:42,2023-01-23 04:14:42,2023-01-23 04:14:33.554,Within SLA,2023-01-23 17:43:55.593,Within SLA,,6.0,,Custom software development,Tier 2,Spain,39.67337,-4.767726
In progress,1207,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-23 20:37:56,2023-01-25 20:37:56,2023-01-23 21:37:56,2023-01-23 21:15:21.591,Within SLA,,SLA Violated,,5.0,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Resolved,1208,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-23 16:44:16,2023-01-25 16:44:16,2023-01-23 17:44:16,2023-01-23 20:36:58.536,SLA Violated,2023-01-23 20:47:18.308,Within SLA,,2.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
In progress,1210,Low,Email,Other,2nd line support,Michele Whyatt,2023-01-23 06:36:19,2023-01-25 06:36:19,2023-01-23 07:36:19,2023-01-23 06:44:59.855,Within SLA,,SLA Violated,,10.0,,Custom software development,Tier 2,Germany,51.165691,10.451526
Resolved,1216,Medium,Email,Product setup,1st line support,Nicola Wane,2023-01-24 21:48:35,2023-01-26 21:48:35,2023-01-24 22:48:35,2023-01-24 22:20:35.937,Within SLA,2023-01-30 05:47:44.222,SLA Violated,,1.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
In progress,1217,High,Email,Other,2nd line support,Heather Urry,2023-01-24 16:15:21,2023-01-26 16:15:21,2023-01-24 17:15:21,2023-01-24 16:41:24.347,Within SLA,,SLA Violated,,10.0,,Other,Tier 2,Republic of Ireland,53.094024,-8.019675
Resolved,1218,Low,Chat,Purchasing and invoicing,1st line support,Kristos Westoll,2023-01-24 12:06:06,2023-01-25 12:06:06,2023-01-24 12:08:06,2023-01-24 12:06:38.190,Within SLA,2023-01-24 13:21:29.758,Within SLA,,6.0,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1219,Low,Email,Purchasing and invoicing,1st line support,Connor Danielovitch,2023-01-24 17:44:33,2023-01-26 17:44:33,2023-01-24 18:44:33,2023-01-24 18:24:02.404,Within SLA,2023-01-26 06:26:42.873,Within SLA,,8.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1221,Medium,Email,Bug report,2nd line support,Heather Urry,2023-01-25 15:29:35,2023-01-27 15:29:35,2023-01-25 16:29:35,2023-01-25 23:19:34.934,SLA Violated,2023-01-25 16:52:45.663,Within SLA,,1.0,,Custom software development,Tier 2,Greece,39.368279,21.863141
Resolved,1223,Medium,Email,Feature request,1st line support,Kristos Westoll,2023-01-25 22:34:37,2023-01-27 22:34:37,2023-01-25 23:34:37,2023-01-25 22:43:08.227,Within SLA,2023-01-26 08:09:09.325,Within SLA,,1.0,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1225,High,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-01-25 06:10:06,2023-01-27 06:10:06,2023-01-25 07:10:06,2023-01-25 06:44:02.935,Within SLA,2023-01-26 11:27:22.684,Within SLA,,5.0,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
In progress,1226,Low,Phone,Feature request,1st line support,Sheela Cutten,2023-01-25 11:33:23,2023-01-27 11:33:23,2023-01-25 11:35:23,2023-01-25 11:36:04.214,SLA Violated,,SLA Violated,,1.0,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Resolved,1227,Low,Chat,Product setup,1st line support,Sheela Cutten,2023-01-26 08:15:02,2023-01-27 08:15:02,2023-01-26 08:17:02,2023-01-26 08:16:59.625,Within SLA,2023-01-26 22:11:02.087,Within SLA,,7.0,,Custom software development,Tier 1,Poland,52.536273,19.050639
Resolved,1229,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-26 20:20:10,2023-01-28 20:20:10,2023-01-26 21:20:10,2023-01-26 21:19:17.543,Within SLA,2023-01-27 08:25:16.450,Within SLA,,1.0,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
